source,subfolder,source_url,filename,pulled_date,format,approx_records,extraction_needed,notes
01_bankruptcy,rite_aid,https://restructuring.ra.kroll.com/RiteAid/Home-DownloadPDF?id1=MzA4MDk3OA%3D%3D&id2=-1,riteaid_notice_assumed_assigned_cure_2023.pdf,,pdf,unknown,unknown,"Notice of Proposed Assumed & Assigned Executory Contracts/Unexpired Leases & Cure Payments; D.N.J. 23-18993 (filed 2023-10-15, Kroll); cure obj deadline 2024-01-03; direct-PDF id surfaced in search, title unverified (Cloudflare 403 blocks auto-fetch)"
01_bankruptcy,rite_aid,https://restructuring.ra.kroll.com/RiteAid/Home-DocketInfo,riteaid_DOCKET_INDEX.url,,html,n/a,n/a,"Kroll docket browser; filter 'cure' / 'assumed and assigned' to enumerate exhibits. Second filing (New Rite Aid 2025, D.N.J. 25-14831) at restructuring.ra.kroll.com/RiteAid2025/"
01_bankruptcy,big_lots,https://cases.ra.kroll.com/biglots/Home-DocketInfo,biglots_DOCKET_INDEX.url,,html,unknown,unknown,"D.Del 24-11967 (filed 2024-09-09, Kroll); Notices of Potential A&A + Cure tied to Gordon Brothers/Variety Wholesalers sale (closed 2025-01-03); no direct PDF surfaced - browse docket"
01_bankruptcy,joann,https://cases.ra.kroll.com/Joann2025/Home-DownloadPDF?id1=Mjc1Nzg2NQ%3D%3D&id2=0,joann2025_exhibit_b_assumed_leases_redline.pdf,,pdf,unknown,unknown,"JOANN 2025 liquidation, D.Del 25-10068 (filed 2025-01-15, Kroll); 'Exhibit B Redline' assumed/assigned-lease exhibit (tentative title); ~800 stores closed, Burlington took 45 leases"
01_bankruptcy,joann,https://cases.ra.kroll.com/Joann/,joann2024_DOCKET_INDEX.url,,html,unknown,unknown,"JOANN 2024 prepack, D.Del 24-10418 (filed 2024-03-18, Kroll); proposed cure amounts $0-~$58,234 reported; browse docket for cure schedule"
01_bankruptcy,party_city,https://cases.ra.kroll.com/PCHI2024/,partycity2024_DOCKET_INDEX.url,,html,unknown,unknown,"Party City 2024 liquidation, S.D.Tex 24-90621 (filed 2024-12-21, Kroll); ~700 stores; relevant doc = Schedule of Rejected Executory Contracts & Unexpired Leases; no direct PDF surfaced - browse docket. 2023 filing at cases.ra.kroll.com/PCHI/"
01_bankruptcy,99_cents_only,https://cases.ra.kroll.com/99only/Home-DownloadPDF?id1=MjU1NzE1Ng%3D%3D&id2=0,99only_notice_assumption_assignment_cure.pdf,,pdf,~371,unknown,"Number Holdings/99 Cents Only, D.Del 24-10719 (filed 2024-04-07, Kroll); Notice of Assumption & Assignment + cure exhibit (sale; Dollar Tree ~170 leases, Ollie's 11); direct-PDF id surfaced, title unverified"
01_bankruptcy,99_cents_only,https://cases.ra.kroll.com/99only/Home-DocketInfo,99only_DOCKET_INDEX.url,,html,n/a,n/a,"Kroll docket browser for 99 Cents Only sale/cure exhibits"
01_bankruptcy,red_lobster,https://document.epiq11.com/document/getdocumentbycode?docId=4353302&projectCode=RLR,redlobster_notice_assumed_assigned_cure_doc515.pdf,,pdf,unknown,unknown,"Red Lobster Management, M.D.Fla 6:24-bk-02486-GER (filed 2024-05-19, Epiq); Doc 515 filed 2024-07-10: Notice of Potentially Assumed/Assigned Contracts & Leases + Cure Costs (auction 2024-07-23); ~550-580 restaurants. Omni/Verita mirror at casedocs.omniagentsolutions.com"
01_bankruptcy,red_lobster,https://dm.epiq11.com/case/redlobster/dockets,redlobster_DOCKET_INDEX.url,,html,n/a,n/a,"Epiq dockets browser; also related cure doc https://document.epiq11.com/document/getdocumentbycode?docId=4358079&projectCode=RLR"
01_bankruptcy,express,https://cases.stretto.com/public/x266/12360/PLEADINGS/1236003202480000000042.pdf,express_plan_supplement_assumption_schedule.pdf,,pdf,unknown,unknown,"Express Inc, D.Del 24-10831 (filed 2024-04-22, Stretto); Plan Supplement Assumption Schedule (assumed/assigned leases + cure amounts), Plan Supplement series ~2024-12; ~530 stores; WHP/PHOENIX buyer"
01_bankruptcy,express,https://cases.stretto.com/express/court-docket/,express_DOCKET_INDEX.url,,html,n/a,n/a,"Stretto court-docket browser; filter 'plan supplement' / 'assumption schedule'"
01_bankruptcy,bed_bath_beyond,https://restructuring.ra.kroll.com/bbby/Home-DownloadPDF?id1=MTUzNjM4Mw%3D%3D&id2=-1,bbby_notice_assumed_leases_cure_doc714.pdf,,pdf,~480,unknown,"Bed Bath & Beyond, D.N.J. 23-13359 (filed 2023-04-23, Kroll); Doc 714 Notice re Potentially Assumed Contracts/Leases + cure (obj deadline 2023-06-26); ~360 BBB + ~120 buybuy BABY stores; direct-PDF id surfaced"
01_bankruptcy,bed_bath_beyond,https://restructuring.ra.kroll.com/bbby/ExternalCall-DownloadPDF?id1=MTUzNjg2Nw%3D%3D&id2=0&cid=0,bbby_lease_sale_exhibit_a.pdf,,pdf,unknown,unknown,"BBBY lease-sale Exhibit A (lease assets + successful/backup bidders + cure amounts); lease auction 2023-06-26"
